severity,finding,surface,player_id,name,position,field,ours,published,note
3,source absence rendered as a number,draft-board,15255,Akheem Mesidor,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15255,Akheem Mesidor,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15363,Cam Miller,QB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15363,Cam Miller,QB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15368,Christen Miller,DT,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15368,Christen Miller,DT,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15377,Dante Miller,RB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15377,Dante Miller,RB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15395,Jam Miller,RB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15395,Jam Miller,RB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15762,Derrick Moore,DE,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15762,Derrick Moore,DE,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15764,Devin Moore,CB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15764,Devin Moore,CB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15850,Trey Moore,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15850,Trey Moore,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15983,Behren Morton,QB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,15983,Behren Morton,QB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,16076,Malik Muhammad,CB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,16076,Malik Muhammad,CB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,16127,Red Murdock,LB,games_played,0,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
3,source absence rendered as a number,draft-board,16127,Red Murdock,LB,team_games,17,null,No 2025 published player-week or resolved snap rows; the endpoint emits the fallback rather than null.
